epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.2028,0.84175,0.69854,1.09984,0.83719,0.70555,0.78457,0.42909,1.52515,0.88442,1.57711,0.000236908,0.000236908,0.000236908
2,128.305,0.90212,0.77303,1.13306,0.84087,0.66863,0.7505,0.44474,1.35451,0.96567,1.40881,0.000465505,0.000465505,0.000465505
3,187.201,0.942,0.83214,1.15917,0.78722,0.63663,0.70966,0.41421,1.46585,1.05678,1.50875,0.000684677,0.000684677,0.000684677
4,246.357,0.98009,0.88607,1.17867,0.7867,0.66843,0.7218,0.39636,1.52181,1.02628,1.55105,0.000671588,0.000671588,0.000671588
5,306.091,0.9543,0.86851,1.17397,0.83373,0.65625,0.72922,0.40669,1.53134,1.04553,1.56499,0.000657451,0.000657451,0.000657451
6,365.914,0.97188,0.87981,1.17855,0.78667,0.67564,0.72835,0.41435,1.50446,0.95985,1.56916,0.000643314,0.000643314,0.000643314
7,428.06,0.95664,0.85424,1.17165,0.86301,0.65583,0.74461,0.40942,1.53429,0.98398,1.52151,0.000629177,0.000629177,0.000629177
8,492.107,0.94333,0.84412,1.16618,0.83588,0.70213,0.7561,0.43632,1.45674,0.93931,1.53539,0.00061504,0.00061504,0.00061504
9,552.162,0.93213,0.82504,1.15359,0.78766,0.68761,0.75976,0.43761,1.42429,0.88447,1.49392,0.000600902,0.000600902,0.000600902
10,613.917,0.93074,0.81379,1.15131,0.83432,0.66459,0.73813,0.43498,1.44396,0.89048,1.45792,0.000586765,0.000586765,0.000586765
11,673.76,0.91383,0.7897,1.14356,0.89356,0.66844,0.75843,0.42464,1.50085,0.90381,1.51849,0.000572628,0.000572628,0.000572628
12,733.473,0.91679,0.78113,1.14253,0.8683,0.66507,0.75846,0.46196,1.37215,0.87369,1.42377,0.000558491,0.000558491,0.000558491
13,793.495,0.90908,0.78475,1.14125,0.81334,0.71468,0.76775,0.43591,1.46987,0.8863,1.50678,0.000544354,0.000544354,0.000544354
14,854.182,0.90503,0.76778,1.13739,0.86216,0.6902,0.78393,0.46483,1.38275,0.83462,1.44121,0.000530216,0.000530216,0.000530216
15,913.743,0.88968,0.75398,1.12769,0.85414,0.66631,0.77177,0.45528,1.3854,0.88435,1.4578,0.000516079,0.000516079,0.000516079
16,973.573,0.88275,0.73299,1.11884,0.88116,0.69312,0.78668,0.47865,1.33458,0.82297,1.40609,0.000501942,0.000501942,0.000501942
17,1033.43,0.87609,0.72955,1.11681,0.88497,0.69032,0.78622,0.46481,1.40555,0.80201,1.43537,0.000487805,0.000487805,0.000487805
18,1093.52,0.86438,0.71738,1.11292,0.83358,0.71481,0.781,0.47094,1.35487,0.83085,1.41279,0.000473668,0.000473668,0.000473668
19,1153.78,0.85924,0.70975,1.10357,0.8521,0.73088,0.79003,0.47589,1.34501,0.79578,1.41392,0.00045953,0.00045953,0.00045953
20,1214.81,0.841,0.69456,1.09664,0.85959,0.71251,0.79125,0.46535,1.35856,0.81408,1.45206,0.000445393,0.000445393,0.000445393
21,1286.3,0.83781,0.68853,1.09602,0.86441,0.74076,0.80887,0.50622,1.27869,0.73774,1.36012,0.000431256,0.000431256,0.000431256
22,1346.57,0.83169,0.67559,1.08933,0.84313,0.74219,0.80171,0.48395,1.35465,0.77513,1.40728,0.000417119,0.000417119,0.000417119
23,1407.7,0.83235,0.66951,1.08522,0.88136,0.70373,0.79214,0.49413,1.28999,0.78022,1.39047,0.000402982,0.000402982,0.000402982
24,1468.22,0.81982,0.65707,1.07907,0.87648,0.72225,0.80684,0.51338,1.25868,0.74557,1.35556,0.000388844,0.000388844,0.000388844
25,1528.78,0.80834,0.64899,1.07639,0.89412,0.71836,0.80795,0.49994,1.30015,0.72666,1.40503,0.000374707,0.000374707,0.000374707
26,1589.36,0.79746,0.63929,1.06832,0.90843,0.72353,0.81326,0.50604,1.28708,0.72417,1.36643,0.00036057,0.00036057,0.00036057
27,1648.93,0.7955,0.63358,1.06745,0.92431,0.73413,0.81916,0.50893,1.27193,0.72172,1.35473,0.000346433,0.000346433,0.000346433
28,1711.06,0.78592,0.6234,1.06157,0.89124,0.71258,0.80977,0.52089,1.25127,0.71287,1.32976,0.000332296,0.000332296,0.000332296
29,1771.17,0.78861,0.61858,1.06204,0.87948,0.72891,0.8172,0.51403,1.27167,0.72443,1.34899,0.000318158,0.000318158,0.000318158
30,1830.98,0.76413,0.60498,1.05241,0.89804,0.72017,0.81356,0.52108,1.21824,0.70973,1.31695,0.000304021,0.000304021,0.000304021
31,1901.94,0.76177,0.60053,1.0503,0.84137,0.78318,0.83088,0.52525,1.22694,0.67019,1.31496,0.000289884,0.000289884,0.000289884
32,1964.43,0.75966,0.58834,1.04653,0.89092,0.76346,0.8268,0.52357,1.24449,0.68835,1.34256,0.000275747,0.000275747,0.000275747
33,2025.46,0.75506,0.58592,1.04533,0.90991,0.73317,0.82487,0.53834,1.18378,0.66691,1.31249,0.00026161,0.00026161,0.00026161
34,2086.13,0.74444,0.57871,1.03764,0.91533,0.74432,0.83681,0.52998,1.24693,0.68856,1.33363,0.000247472,0.000247472,0.000247472
35,2147.27,0.73774,0.57431,1.03675,0.88155,0.75478,0.826,0.54521,1.17727,0.67027,1.29787,0.000233335,0.000233335,0.000233335
36,2207.17,0.73141,0.57313,1.03413,0.92952,0.73345,0.82685,0.53662,1.19316,0.66973,1.30833,0.000219198,0.000219198,0.000219198
37,2267.63,0.72667,0.56088,1.02926,0.94166,0.75424,0.84569,0.54871,1.20998,0.6416,1.2935,0.000205061,0.000205061,0.000205061
38,2327.88,0.72267,0.57277,1.03232,0.88985,0.75432,0.83614,0.54429,1.19357,0.66228,1.29968,0.000190924,0.000190924,0.000190924
39,2388.93,0.71295,0.55179,1.0276,0.90492,0.75482,0.8335,0.55344,1.17536,0.63644,1.2948,0.000176786,0.000176786,0.000176786
40,2453.58,0.70832,0.54841,1.02195,0.91782,0.75205,0.84324,0.56121,1.1667,0.64321,1.28531,0.000162649,0.000162649,0.000162649
41,2524.59,0.70141,0.46779,1.00647,0.8867,0.75687,0.82365,0.55779,1.13161,0.64844,1.25472,0.000148512,0.000148512,0.000148512
42,2582.08,0.68529,0.44986,1.00039,0.90631,0.75937,0.83477,0.55813,1.15093,0.63544,1.29286,0.000134375,0.000134375,0.000134375
43,2639.59,0.67263,0.43437,0.98985,0.92361,0.75593,0.83973,0.5531,1.17465,0.6372,1.30127,0.000120238,0.000120238,0.000120238
44,2704.54,0.66575,0.43213,0.98873,0.91228,0.76853,0.84185,0.56,1.1739,0.63699,1.30009,0.0001061,0.0001061,0.0001061
45,2774.21,0.64886,0.42365,0.98392,0.89785,0.76955,0.84021,0.55867,1.17207,0.63337,1.31591,9.19632e-05,9.19632e-05,9.19632e-05
46,2843.65,0.64804,0.42605,0.98246,0.91335,0.77137,0.8464,0.56574,1.14331,0.61775,1.28185,7.7826e-05,7.7826e-05,7.7826e-05
